시장,종목,보유수량,평단가,현재가,수익률,권장행동,권장수량,예상금액,초보자 안내,현재가 출처
미국주식,NBIS (NBIS),22주,$159.00,$214.77,35.08%,일부 익절 검토,5주,"$1,073.85",수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,NEBIUS,22주,$159.00,-,-,보유 점검,0주,-,현재가가 아직 미수신입니다. GitHub 동기화 또는 장중 갱신 후 다시 확인하세요. 행은 삭제하지 않고 보유 정보는 유지했습니다.,미수신
미국주식,Nebius (NBIS),22주,$159.00,$191.82,20.64%,일부 익절 검토,5주,$959.10,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,저장 현재가
미국주식,RKLB (RKLB),21주,$67.50,$135.76,101.13%,일부 익절 검토,5주,$678.80,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,ROCKET,0주,$67.50,-,-,보유 점검,0주,-,현재가가 아직 미수신입니다. GitHub 동기화 또는 장중 갱신 후 다시 확인하세요. 행은 삭제하지 않고 보유 정보는 유지했습니다.,미수신
미국주식,Rocket Lab (RKLB),21주,$67.50,$135.76,101.13%,일부 익절 검토,5주,$678.80,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,SANDISK,5주,$791.59,-,-,보유 점검,0주,-,현재가가 아직 미수신입니다. GitHub 동기화 또는 장중 갱신 후 다시 확인하세요. 행은 삭제하지 않고 보유 정보는 유지했습니다.,미수신
미국주식,SIMO (SIMO),9주,$244.21,$276.14,13.07%,일부 익절 검토,2주,$552.28,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,SNDK (SNDK),5주,$791.60,"$1,478.69",86.80%,일부 익절 검토,1주,"$1,478.69",수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,실시간 fallback
미국주식,SanDisk (SNDK),5주,$791.59,"$1,392.56",75.92%,일부 익절 검토,1주,"$1,392.56",수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,저장 현재가
미국주식,네비우스 그룹 (NBIS),22주,$159.00,$191.82,20.64%,일부 익절 검토,5주,$959.10,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,저장 현재가
미국주식,비트마인 이머전 테크놀로지스 (BMNR),211주,$22.75,$19.61,-13.79%,손절/축소 검토,63주,"$1,235.43",손실 구간입니다. 손절 기준 이탈 여부를 먼저 확인하고 성급한 추가매수는 피하세요.,저장 현재가
미국주식,샌디스크 (SNDK),5주,$791.59,"$1,392.56",75.92%,일부 익절 검토,1주,"$1,392.56",수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,저장 현재가
미국주식,써클 인터넷 그룹 (CRCL),30주,$94.55,$111.62,18.05%,일부 익절 검토,7주,$781.34,수익 구간입니다. 목표가 근처면 일부 익절을 검토할 수 있습니다.,저장 현재가
한국주식,두산테스나 (131970),30주,"178,200원","165,600원",-7.07%,손절/축소 검토,9주,"1,490,400원",손실 구간입니다. 손절 기준 이탈 여부를 먼저 확인하고 성급한 추가매수는 피하세요.,저장 현재가
한국주식,심텍 (222800),55주,"98,200원","103,600원",5.50%,보유 유지,0주,-,보유 유지 가능 구간입니다. 실제 주문 전 증권사 현재가와 비교하세요.,저장 현재가
