시장,종목코드,종목명,분류,기준가,1일상승확률,3일상승확률,5일상승확률,신뢰도,다음 행동
미국주식,,Costco (COST),눌림목,"$1,028.24",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Intel (INTC),눌림목,$119.84,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Lumentum (LITE),눌림목,$946.90,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,NVIDIA (NVDA),눌림목,$215.33,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Nebius (NBIS),눌림목,$214.77,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Palantir (PLTR),눌림목,$136.88,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Riot Platforms (RIOT),눌림목,$24.49,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,SanDisk (SNDK),눌림목,"$1,478.69",55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Super Micro Computer (SMCI),눌림목,$35.58,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,TSMC (TSM),눌림목,$404.52,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Tesla (TSLA),눌림목,$426.01,55%,58%,60%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,GOOGL,GOOGL,수급,$382.97,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,INTC,INTC,수급,$119.84,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,NVDA,NVDA,수급,$215.33,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,PLTR,PLTR,수급,$136.88,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,TSLA,TSLA,수급,$426.01,57%,60%,62%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,SNDK,SanDisk,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,NBIS,Nebius,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,CRCL,Circle,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,BMNR,BMNR,실적·저평가,-,54%,57%,59%,기록 축적 중,실제 결과가 쌓이면 자동 보정
미국주식,,Alphabet (GOOGL),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Amazon (AMZN),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Caterpillar (CAT),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Circle (CRCL),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Cloudflare (NET),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Costco (COST),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Energy ETF (XLE),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Intel (INTC),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Lumentum (LITE),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,NVIDIA (NVDA),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Nebius (NBIS),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Palantir (PLTR),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Riot Platforms (RIOT),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Russell 2000 ETF (IWM),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,SanDisk (SNDK),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Super Micro Computer (SMCI),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,TSMC (TSM),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
미국주식,,Tesla (TSLA),주의/제외,-,42%,45%,47%,낮음,실제 결과가 쌓이면 자동 보정
