우선순위,행동,종목,종목코드,시장,원점수,보정점수,보정,손익비,기준가,손절가,목표가,가점근거,감점근거,이유,초보자 안내,source_file
중간,소액/분할만,LG유플러스 (032640),032640,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,삼성전자 (005930),005930,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,SK하이닉스 (000660),000660,한국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,NVIDIA (NVDA),NVDA,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Alphabet (GOOGL),GOOGL,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Tesla (TSLA),TSLA,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Palantir (PLTR),PLTR,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Intel (INTC),INTC,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Lumentum (LITE),LITE,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,SanDisk (SNDK),SNDK,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Caterpillar (CAT),CAT,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Circle (CRCL),CRCL,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Nebius (NBIS),NBIS,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Super Micro Computer (SMCI),SMCI,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Costco (COST),COST,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Amazon (AMZN),AMZN,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,TSMC (TSM),TSM,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Cloudflare (NET),NET,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
중간,소액/분할만,Riot Platforms (RIOT),RIOT,미국주식,55.0,50.0,-5.0,-,-,-,-,-,기준가/손절/목표 불완전 -5,백테스트 참고,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,v43_strategy_backtest_summary.csv
