시장,종목코드,종목명,카테고리,카드제목,상태,핵심값,초보자 해석,다음 행동,점수
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
한국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
한국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
한국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
한국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
미국주식,-,-,value,고급 가치평가,데이터 부족,-,밸류에이션이 과하지 않은지 확인합니다. 값이 부족하면 매수 확신도를 낮춰야 합니다.,가격보다 기업가치 근거가 있는지 확인,35
미국주식,-,-,kpi,KPI,확인 필요,-,성장성·수익성·안정성을 함께 봅니다. 한 항목만 좋다고 바로 매수하지 않습니다.,KPI가 가격 흐름과 같이 개선되는지 확인,0
미국주식,-,-,financial,재무제표 상세표,요약 가능,원본표는 관리자모드,긴 재무제표는 일반 화면에서 숨기고 핵심 KPI만 봅니다.,상세 원본은 관리자모드에서 확인,50
미국주식,-,-,narrative,종목 내러티브,기초 생성,-(-)은 현재 재무/KPI 연결 상태를 기준으로 보수적으로 판단합니다.,AI API가 없으면 뉴스·재무·리스크 기반의 규칙형 설명만 제공합니다.,뉴스/수급/차트가 같은 방향인지 확인,45
