종목,재무상태,가치평가,KPI,초보자 해석,다음 행동,출처
삼성전기 (009150),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 48.98,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
LG이노텍 (011070),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 107.02,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
HD현대일렉트릭 (267260),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 234.63,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
LS ELECTRIC (010120),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 131.48,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
효성중공업 (298040),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 190.31,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
LS (006260),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 225.47,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
대한전선 (001440),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 214.0,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
일진전기 (103590),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 259.23,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
두산에너빌리티 (034020),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 129.1,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
한화에어로스페이스 (012450),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 321.38,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
한국항공우주 (047810),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 546.57,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
LIG넥스원 (079550),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 546.35,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
현대로템 (064350),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 206.39,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
한화시스템 (272210),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 206.5,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
HD한국조선해양 (009540),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 133.86,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
HD현대중공업 (329180),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 180.07,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
삼성중공업 (010140),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 365.05,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
한화오션 (042660),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 226.17,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
레인보우로보틱스 (277810),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 107.08,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
두산로보틱스 (454910),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 114.57,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
로보티즈 (108490),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 101.79,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
로보스타 (090360),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 125.73,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
대한항공 (003490),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 339.88,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
현대자동차 (005380),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 188.95,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
기아 (000270),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 61.76,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
현대모비스 (012330),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 143.05,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
한국전력 (015760),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 516.85,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
NAVER (035420),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 141.9,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
카카오 (035720),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 182.49,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
삼성에스디에스 (018260),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 31.09,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
SK스퀘어 (402340),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 109.01,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
삼성바이오로직스 (207940),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 48.44,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
셀트리온 (068270),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 28.71,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
알테오젠 (196170),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 153.76,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
유한양행 (000100),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 36.35,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
파마리서치 (214450),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 144.21,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
클래시스 (214150),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 127.73,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
LG에너지솔루션 (373220),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 129.0,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
삼성SDI (006400),값 부족,PER - / PBR -,ROE - / 성장률 - / 부채 -,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
LG화학 (051910),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 114.54,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
POSCO홀딩스 (005490),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 68.64,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
포스코퓨처엠 (003670),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 202.65,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
에코프로비엠 (247540),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 242.16,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
에코프로 (086520),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 217.92,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
엘앤에프 (066970),값 부족,PER - / PBR -,ROE - / 성장률 - / 부채 -,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
DL이앤씨 (375500),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 184.38,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
현대건설 (000720),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 274.82,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
GS건설 (006360),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 334.2,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
KB금융 (105560),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 1211.73,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
신한지주 (055550),값 부족,PER - / PBR -,ROE - / 성장률 - / 부채 -,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
하나금융지주 (086790),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 1373.12,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
메리츠금융지주 (138040),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 1202.87,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
원익IPS (240810),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 20.06,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
테크윙 (089030),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 298.75,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
이오테크닉스 (039030),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 113.06,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
심텍 (222800),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 281.13,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
대덕전자 (353200),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 131.28,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
에스티아이 (039440),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 27.63,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
LX세미콘 (108320),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 24.36,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
에이피알 (278470),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 73.11,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
휴젤 (145020),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 109.86,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
천보 (278280),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 181.76,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
나노신소재 (121600),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 84.11,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
코스모신소재 (005070),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 145.14,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
KG모빌리티 (003620),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 126.95,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
현대글로비스 (086280),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 178.92,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
HMM (011200),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 26.31,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
팬오션 (028670),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 189.63,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
현대제철 (004020),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 73.6,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
고려아연 (010130),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 182.36,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
